fr,de
le vaisseau spatial,das Raumschiff
la pleine lune,der Vollmond
la lune croissante,der zunehmende Mond
la lune décroissante,der abnehmende Mond
le pôle Nord,der Nordpol
la presqu’île,die Halbinsel
la mer,das Meer
les tropiques,die Tropen
le pays,das Land
l’État,der Staat
ensoleillé,sonnig
nuageux,wolkig
brumeux,neblig
venteux,windig
torride,heiß
couvert,bedeckt
pluvieux,regnerisch
orageux,stürmisch
la sécheresse,die Dürre
l’ouragan,der Hurrikan
le tremblement de terre,das Erdbeben
la vague de chaleur,die Hitzewelle
l’embouchure,die Mündung
le rocher,der Felsen
la grotte,die Höhle
la falaise,die Klippe
la cascade,der Wasserfall
la colline,der Hügel
le désert,die Wüste
la prairie,die Wiese
le mercure,das Quecksilber
le chêne,die Eiche
le hêtre,die Buche
l’érable,der Ahorn
la branche,der Ast
le tronc,der Stamm
la racine,die Wurzel
le conifère,der Nadelbaum
la mousse,das Moos
le trèfle,der Klee
la tulipe,die Tulpe
le palmier,die Palme